premise	hypothesis	us_ratings	in_ratings
The wedding guests were taken aback when the bride's sister arrived in stunning red attire.	The bride's sister is expected to dress in neutral or muted colors.	['E', 'N', 'E', 'N', 'E']	['C', 'E', 'C', 'C', 'N']
The wedding guests were taken aback when the bride's sister arrived in stunning red attire.	The bride's sister was drawing attention away from the bride.	['E', 'N', 'E', 'E', 'E']	['N', 'E', 'E', 'E', 'E']
The wedding guests were taken aback when the bride's sister arrived in stunning red attire.	The guests did not expect to see the bride's sister in a red attire.	['E', 'E', 'E', 'E', 'E']	['C', 'E', 'N', 'C', 'C']
Students in identical shirts rush through the hallways with their individuality masked by the dress code.	The narrator is describing a scene of students wearing uniforms.	['E', 'E', 'E', 'C']	['N', 'E', 'E', 'E', 'E']
Students in identical shirts rush through the hallways with their individuality masked by the dress code.	The narrator is skeptical about the school's dress code.	['N', 'E', 'N', 'E']	['C', 'E', 'C', 'C', 'N']
Students in identical shirts rush through the hallways with their individuality masked by the dress code.	The narrator is visiting a public school.	['N', 'N', 'C', 'N']	['N', 'N', 'C', 'E', 'N']
People gather on their balcony, proudly waving the national flag to celebrate the special day.	People are celebrating a national holiday.	['N', 'E', 'N', 'E', 'E', 'N', 'E']	['E', 'E', 'N', 'E', 'E']
People gather on their balcony, proudly waving the national flag to celebrate the special day.	People are celebrating one of their friend's birthday.	['N', 'C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
People gather on their balcony, proudly waving the national flag to celebrate the special day.	People are celebrating a sports event.	['N', 'N', 'N', 'C', 'C', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
As the manager walked into the room, the intern casually said "Hi".	The manager felt surprised by the intern's informal greeting.	['N', 'E', 'N', 'C', 'N']	['N', 'N', 'N', 'C', 'N']
As the manager walked into the room, the intern casually said "Hi".	The manager has met the intern before.	['N', 'C', 'N', 'E', 'E']	['C', 'C', 'N', 'E', 'E']
As the manager walked into the room, the intern casually said "Hi".	The manager expects the intern to greet her in a casual manner.	['N', 'C', 'C', 'N', 'C']	['N', 'N', 'C', 'N', 'C']
Despite a black dress might look stunning, it is an unconventional choice that can get frowned upon for this occation.	A black dress is an unconventional choice when attending a funeral.	['N', 'C', 'C', 'E', 'N']	['N', 'C', 'N', 'N', 'N']
Despite a black dress might look stunning, it is an unconventional choice that can get frowned upon for this occation.	Wearing black dress can make some people look confident.	['E', 'N', 'E', 'C', 'N']	['E', 'E', 'N', 'E', 'E']
Despite a black dress might look stunning, it is an unconventional choice that can get frowned upon for this occation.	A black dress is an unconventional choice when attending a wedding.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
The only thing better than a cup of latte at the start of a day was not waiting in line to get one.	The speaker usually doesn't wait in line to get a cup of latte in the morning.	['N', 'E', 'E', 'N', 'N']	['E', 'C', 'C', 'C', 'N']
The only thing better than a cup of latte at the start of a day was not waiting in line to get one.	The speaker is willing to wait in line to get a cup of latte in the morning.	['C', 'N', 'N', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
The only thing better than a cup of latte at the start of a day was not waiting in line to get one.	The speaker likes starting their day by waiting in line to get a cup of latte.	['N', 'C', 'E', 'N', 'N']	['N', 'N', 'E', 'C', 'C']
Waiting in line is just the most enjoyable way to spend time, isn't it? It's like a mini-vacation from all the excitement of getting to your next ride at Disneyland.	The speaker was standing in line at Disneyland.	['E', 'E', 'E', 'E', 'N']	['E', 'E', 'E', 'E', 'E']
Waiting in line is just the most enjoyable way to spend time, isn't it? It's like a mini-vacation from all the excitement of getting to your next ride at Disneyland.	The speaker enjoyed waiting in line at Disneyland.	['C', 'E', 'C', 'C', 'E']	['N', 'E', 'N', 'E', 'C']
Waiting in line is just the most enjoyable way to spend time, isn't it? It's like a mini-vacation from all the excitement of getting to your next ride at Disneyland.	The speaker appreciated taking a break from all the excitement in Disneyland.	['C', 'E', 'C', 'C', 'E']	['N', 'E', 'E', 'C', 'E']
When the school bus driver invited me to "just call him Dave", I didn't know what to do. It just wouldn't go through my throat.	The speaker was a parent who interacted with the school bus driver.	['N', 'N', 'N', 'E', 'N']	['N', 'N', 'N', 'N', 'C']
When the school bus driver invited me to "just call him Dave", I didn't know what to do. It just wouldn't go through my throat.	The speaker was calling the bus driver with his title.	['N', 'N', 'C', 'C', 'C']	['E', 'N', 'N', 'N', 'E']
When the school bus driver invited me to "just call him Dave", I didn't know what to do. It just wouldn't go through my throat.	The speaker was having trouble pronouncing the bus driver's name.	['N', 'C', 'N', 'C', 'C']	['N', 'E', 'C', 'C', 'C']
As the dinner party host looked on with dismay, the guest pushed their plate slightly away, leaving a small amount of food untouched.	The guest did not particularly enjoy the food.	['N', 'N', 'C', 'E', 'C']	['E', 'N', 'N', 'N', 'N']
As the dinner party host looked on with dismay, the guest pushed their plate slightly away, leaving a small amount of food untouched.	The guest signaled the host that they were ready for dessert.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'C', 'C', 'N']
As the dinner party host looked on with dismay, the guest pushed their plate slightly away, leaving a small amount of food untouched.	The guest wanted to appreciate the host for providing enough food.	['N', 'N', 'N', 'C', 'N']	['C', 'C', 'N', 'C', 'N']
The waiter raised an eyebrow when the customer asked for tap water instead of a bottle of sparkling water.	The waiter perceived sparkling water as an inferior option.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'N', 'N', 'C']
The waiter raised an eyebrow when the customer asked for tap water instead of a bottle of sparkling water.	The waiter worked in a restaurant or cafe where bottled water is the norm.	['E', 'N', 'E', 'E', 'E']	['E', 'N', 'N', 'N', 'E']
The waiter raised an eyebrow when the customer asked for tap water instead of a bottle of sparkling water.	The waiter had already served the customer tap water.	['C', 'C', 'N', 'C', 'C']	['N', 'N', 'C', 'N', 'C']
Riding a bike without a helmet is something school kids trying to look cool would do.	Riding a bike without a helmet is not a wise choice.	['N', 'E', 'N', 'E', 'N']	['N', 'E', 'C', 'E', 'C']
Riding a bike without a helmet is something school kids trying to look cool would do.	Riding bikes without helmets is common among school kids.	['E', 'N', 'E', 'N', 'N']	['N', 'N', 'N', 'N', 'E']
Riding a bike without a helmet is something school kids trying to look cool would do.	Riding bikes without helmets will make one look cool.	['E', 'E', 'N', 'C', 'N']	['N', 'N', 'E', 'C', 'C']
Riding a bike with a helmet would make people think you are going bicycle racing.	The speaker advocates wearing a helmet while riding a bike.	['N', 'N', 'N', 'N']	['N', 'C', 'N', 'C', 'C']
Riding a bike with a helmet would make people think you are going bicycle racing.	The speaker wants to be perceived as a bicycle racer by wearing a helmet.	['N', 'N', 'N', 'C']	['E', 'N', 'N', 'C', 'C']
Riding a bike with a helmet would make people think you are going bicycle racing.	The speaker does not see the need to wear a helmet for their bike usage.	['E', 'N', 'E', 'N']	['C', 'N', 'N', 'E', 'E']
The store staff gather in a circle and chant motivational phrases, clapping their hands and getting energized for the day ahead.	The store staff wanted to boost morale among themselves.	['N', 'N', 'E', 'N', 'E']	['E', 'E', 'E', 'E', 'E']
The store staff gather in a circle and chant motivational phrases, clapping their hands and getting energized for the day ahead.	The store staff were engaged in work activities before gathering in a circle.	['C', 'N', 'C', 'N', 'C']	['C', 'C', 'N', 'C', 'C']
The store staff gather in a circle and chant motivational phrases, clapping their hands and getting energized for the day ahead.	The store staff believe in the power of praying.	['N', 'N', 'C', 'C', 'N']	['E', 'E', 'N', 'N', 'C']
Who wouldn't enjoy wandering aimlessly through a maze of identical aisles and being forced to choose from a limited selection of products?	The person enjoys shopping at a big-box store.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Who wouldn't enjoy wandering aimlessly through a maze of identical aisles and being forced to choose from a limited selection of products?	The person had a shopping experience where the product they looked for was sold out.	['N', 'C', 'E', 'N']	['N', 'N', 'C', 'N', 'C']
Who wouldn't enjoy wandering aimlessly through a maze of identical aisles and being forced to choose from a limited selection of products?	The person is being critical of the store or shopping environment.	['E', 'E', 'E', 'E']	['N', 'E', 'N', 'E', 'E']
One classmate leaned over and took a tiny bite from his lunchbox, while he watched on with amusement.	He was not bothered by his classmate's actions.	['E', 'C', 'E', 'E', 'E']	['N', 'N', 'N', 'N', 'C']
One classmate leaned over and took a tiny bite from his lunchbox, while he watched on with amusement.	He had brought some special dishes	['E', 'E', 'N', 'N', 'E']	['E', 'E', 'E', 'N', 'E']
One classmate leaned over and took a tiny bite from his lunchbox, while he watched on with amusement.	He offered his classmates to try his dish.	['N', 'C', 'C', 'N', 'N']	['C', 'N', 'C', 'C', 'C']
As one person took a piece of bread, the other guests looked at the empty seats while exchanging awkward glances.	Other guests were upset by the person taking more than their fair share.	['C', 'N', 'C', 'E', 'N']	['N', 'N', 'C', 'C', 'C']
As one person took a piece of bread, the other guests looked at the empty seats while exchanging awkward glances.	Others were unsure whether they should start eating before everyone was seated.	['E', 'N', 'E', 'N', 'E']	['E', 'N', 'E', 'N', 'E']
As one person took a piece of bread, the other guests looked at the empty seats while exchanging awkward glances.	Other guests had already taken some bread.	['C', 'N', 'C', 'C', 'N']	['C', 'C', 'N', 'C', 'E']
The guest at the dinner party finished every bite of the meal, leaving the plate completely empty for the host.	The guest was thoroughly enjoying the meal.	['E', 'N', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
The guest at the dinner party finished every bite of the meal, leaving the plate completely empty for the host.	The guest complained the host offered too little food.	['C', 'C', 'C', 'C']	['N', 'C', 'C', 'C', 'C']
The guest at the dinner party finished every bite of the meal, leaving the plate completely empty for the host.	The guest showed gratitude towards the host.	['E', 'N', 'N', 'N']	['N', 'N', 'C', 'E', 'N']
As the president entered the room, the janitor quickly bowed his head.	The janitor recognized the president.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
As the president entered the room, the janitor quickly bowed his head.	The janitor felt the need to show respect and deference towards the president.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'C']
As the president entered the room, the janitor quickly bowed his head.	The janitor was expressing apologies for the condition of the room.	['N', 'C', 'N', 'C']	['N', 'C', 'C', 'N', 'C']
In a supermarket, shoppers are surprised by the entrepreneurial spirit of a group of teenagers who offer to bag groceries for tips.	Shoppers appreciate the convenience offered by the teenagers.	['E', 'N', 'E', 'N', 'E']	['N', 'N', 'N', 'N', 'E']
